constituency,Donations and other support (including loans) for activities as an MP_sum,Employment and earnings_sum,Employment and earnings - Ad hoc payments_sum,Employment and earnings - Ongoing paid employment_sum,Gifts and benefits from sources outside the UK_sum,"Gifts, benefits and hospitality from UK sources_sum",Land and property (within or outside the UK)_sum,Miscellaneous_sum,Shareholdings_sum,Visits outside the UK_sum,Con_pc,IMD rank 2019,Income,Employment,"Education, skills and training",Health deprivation and disability,Crime,Barriers to housing and services,Living environment,sum_outside_payment
Rugby,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504602082,389,375,378,333,348,268,294,330,
"Ruislip, Northwood and Pinner",20000.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.396259287,485,445,472,521,480,357,117,410,
Runcorn and Helsby,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.542921565,122,128,76,166,96,269,360,305,
Runnymede and Weybridge,6868.0,0.0,0.0,0.0,0.0,1550.0,0.0,0.0,0.0,0.0,0.534059637,468,481,506,443,502,312,112,322,
Rushcliffe,18000.0,0.0,0.0,7623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43368482,528,503,481,524,514,506,471,447,
Rutland and Stamford,12500.0,0.0,1000.0,0.0,0.0,1582.0,0.0,0.0,0.0,0.0,0.545278014,500,495,488,482,495,524,152,399,
Salford,52188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446259474,27,46,68,58,8,26,274,137,
Salisbury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53207796,396,428,414,404,417,366,107,215,
Scarborough and Whitby,43625.0,0.0,10923.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523861462,144,163,117,122,125,406,339,121,
Scunthorpe,28000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502550972,154,155,139,67,145,138,485,388,
Sefton Central,12000.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.688160199,391,369,245,472,180,403,519,365,
Selby,33700.0,0.0,0.0,0.0,0.0,896.0,0.0,0.0,0.0,0.0,0.534138218,395,390,339,252,347,442,388,403,
